output_csv,duration,count,sequence_ids
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,1/8,15,"1,2,7,9,13,16,18,19,20,22,28,29,30,37,46"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,1/4,32,"0,3,4,5,6,8,10,11,12,14,15,17,21,23,24,25,26,27,31,32,33,34,35,36,38,39,40,41,42,43,44,45"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_fourstep.csv,1/8,2,"2,9"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_fourstep.csv,1/4,6,"31,32,33,41,42,43"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,1/8,9,"1,2,9,16,19,22,28,29,46"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,1/4,9,"24,34,35,36,38,39,40,44,45"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw.csv,1/8,11,"0,1,2,3,4,5,6,7,8,9,10"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_fourstep.csv,1/8,2,"0,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_non_chord.csv,1/8,6,"0,2,4,6,7,10"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-3.csv,1/8,4,"0,1,2,3"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-0.csv,1/8,3,"0,1,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-0_fourstep.csv,1/8,1,0
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-2.csv,1/8,6,"0,1,2,3,4,5"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-2_fourstep.csv,1/8,2,"1,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-1.csv,1/8,7,"0,1,2,3,4,5,6"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-1_fourstep.csv,1/8,1,0
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-4.csv,1/8,1,0
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-5.csv,1/8,1,0
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_voices_merged.csv,1/8,22,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_voices_merged_fourstep.csv,1/8,4,"4,8,9,13"
